LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
"3/4""-12TPI RH Jam Nut    (Tie Rod)","3/4""-12TPI-RH-JamNut",A,4.00,EA,,,Suspension,Tatum Motor Sports,,,,,,Tatum Motor Sports,3/4 Right Jam Nut ,3/4 Right Jam Nut ,EA,1,,,,,,,,,,,,
"1/2"" -12TPI LH  Rod end with 1/2""-20 Stud      (Sway arm Link  )","1/2""-RODEND-LH-W/,1/2-STUD",A,4.00,EA,,,Suspension,Tatum Motor Sports,,,,,,Tatum Motor Sports,"1/2"" -12TPI LH  Rod end with 1/2""-20 Stud",CM8Y-1/2 MALE W/ STUD LH,EA,1,Midwest Control,,,52,,,,,,,,
"1/2"" -12TPI RH  Rod end with 1/2""-20 Stud      (Sway arm Link  )","1/2""-RODEND-RH-W/,1/2-STUD",A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,"1/2"" -12TPI RH  Rod end with 1/2""-20 Stud  ",CM8Y-1/2 MALE W/ STUD RH,EA,1,Midwest Control,,,52,,,,,,,,
"3/4"" OD x 1/2""ID HMS  (Upper arms Outside, Tie Rods)",TWD605,A,12.00,EA,6.0,,Suspension,,,,,,,Tatum Motor Sports,"3/4"" x 1/2"" High Mis Spacer",TWD605,EA,,,,,,,,,,,,,
"1"" OD x 3/4"" ID HMS  (Lower Arm to Upright)",TWD603,A,4.00,EA,6.0,,Suspension,,,,,,,Tatum Motor Sports,"1"" x 3/4"" High Mis Spacer",TWD603,EA,,,,,,,,,,,,,
"1"" OD x 5/8"" ID HMS  (Rear Lower Arms)",TR604,A,4.00,EA,6.0,,Suspension,,,,,,,Tatum Motor Sports,"1"" x 5/8"" High Mis Spacer SS",TR604,EA,,,,,,,,,,,,,
Front Swaybar Arm  ,RFN-6061-038,A,2.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,,LOCAL MOTOR SWAY BAR,EA,40,,,,,,,,,,,,
LH Upright ,RFN-0A36C-135,A,1.00,EA,6.0,,Suspension,,,,,,,Tatum Motor Sports,LH Knuckle/Upright ,RF-LH-Upright,EA,,,,,,,,,,,,,
RH Upright ,RFN-0A36C-136,A,1.00,EA,6.0,,Suspension,,,,,,,Tatum Motor Sports,RH Knuckle/Upright ,RF-RH-Upright,EA,,,,,,,,,,,,,
Ball Cup for Billet Arms Right,RF-BallCup-Right,A,1.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,Ball Cup Right Nickle,Ball Cup Right Nichol,EA,,,,,,,,,,,,,
Ball Cup for Billet Arms Left,RF-BallCup-Left,A,1.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,Ball Cup Left Nichol,Ball Cup Left Nichol,EA,,,,,,,,,,,,,
Inner Pivot Inside Front Lower Arm ,RF-InnerPivot-LowerArm,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,Inner Pivot  Nichol,Inner Pivot  Nichol,EA,,,,,,,,,,,,,
Bushings for Inner Lower Arms,Delron Bushing,A,8.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,Delron Bushing,Delron Bushin,EA,,,,,,,,,,,,,
"3/4"" OD  x 2.5"" L  Bushing Sleave (FLCArm )",RF-BushingSleave-Front-Lower,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,3/4 x 2.5 Sleave 4130,3/4 x 2.5 Sleave 4130,EA,,,,,,,,,,,,,
"Shock Mount Spud, Lower Arm",Shock-Mount-Spud,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,4130 Lower Shock bolt Spud Nichol Plated,4130 Lower Shock bolt Spud Nichol Plated,EA,,,,,,,,,,,,,
Grease Fitting,GF-14TF,A,2.00,EA,2.0,,Suspension,A,8%,C,"$63,973",100%,,Terminal Supply,GREASE FITTING - THREAD FORMING 1/4-28 NPT  STRAIGHT HT-37/64 SHANK-13/64 HEX-5/16,,,,,,,,,,,,,,,
Ball Cup (Find source had used and give to Tatum & get new price on Ball cups for Billet arms),,A,2.00,EA,,,,,,,,,,,,,,,,,,,,,,,,,,
Splined Steering Adapter Plate,RF-SplineSteerAdapt,A,1.00,EA,8.0,,Steering,,,,,,,AZ Part Source,Splined Steering Adapter Plate,RF-SplineSteerAdapt,EA,25,,,,,,,,,,,,
Lower Steering Wheel Adapter,RF-LwCowlSteerAdapt,A,1.00,EA,8.0,,Steering,,,,,,,AZ Part Source,Lower Steering Wheel Adapter,RF-LwCowlSteerAdapt,EA,25,,,,,,,,,,,,
Upper Steering Wheel Adapter,RF-UpSteerAdapt,A,1.00,EA,8.0,,Steering,,,,,,,AZ Part Source,Upper Steering Wheel Adapter,RF-UpSteerAdapt,EA,25,,,,,,,,,,,,
Modify GM Steering Pump (From CTS-V Kit),Mod-Pump,A,1.00,EA,2.0,Custom,Steering,,,,,,,Benchwork Steering Systems,,Mod-Pump,EA,15,,,,,,,,,,,,
"Bolt, M10x1.75x25mm, (steering wheel center bolt to column)",N807493-S101,A,1.00,EA,4.0,Ford,Steering,A,4%,C,"$63,614",99%,,Chapman Ford,Bolt,N807493-S101,EA,,,,,,,,,,,,,
"Screw, (wiper stalk mounting, and column lower cover mounting)",W505151-S424,A,2.00,EA,4.0,Ford,Steering,A,4%,C,"$63,938",100%,,Chapman Ford,Screw,W505151-S424,EA,,,,,,,,,,,,0.01,
"Screw, (column upper cover)",W506824-S437,A,2.00,EA,4.0,Ford,Steering,A,4%,C,"$63,701",99%,,Chapman Ford,Screw,W506824-S437,EA,,,,,,,,,,,,0.01,
Upper Steering shaft (to Steering Column),8L3Z-3B676-B,A,1.00,EA,4.0,Ford,Steering,A,4%,A,"$48,427",75%,,Chapman Ford,Shaft,,EA,1,Ford Component Sales,,,726,7.0,,,,,,,
"Bolt, M10x1.5x40mm, (steering shaft)",W711484-S439,A,1.00,EA,4.0,Ford,Steering,A,4%,C,"$64,010",100%,,Chapman Ford,Bolt,,EA,,,,,,,,,,,,,
TEST   Steering Wheel from China Supplier ,,01,1.00,EA,8.0,,Steering ,,,,,,,China,Steering Wheel,,EA,100,,,,,,,,,,,,
7071 Aluminum for Splined Steering Adapter ,,A,0.03,EA,4.0,,Steering,,,,,,,EMJ Metal Supply,7071 Aluminum 2'x 2',,EA,1,,,,,,,,,,,,
Clockspring,8L3Z-14A664-A,A,1.00,EA,11.4,Ford,Steering,A,4%,B,"$56,612",88%,,Ford Component Sales,Cover and contact,8L3Z-14A664-A,EA,24,Chapman Ford,Cover and contact,8L3Z-14A664-A,1,,,,,,,,
Steering Column,7L3Z-3C529-D,A,1.00,EA,7.4,Ford,Steering,A,4%,A,"$44,569",69%,prep,Ford Component Sales,Column Asy,7L3Z-3C529-D,EA,40,,,,,,,,,,,14.95,
"Steering Column Stalk Switch, 4.5mmx1.00x7mmLong",6L3Z-13K359-AA,A,1.00,EA,6.0,Ford,Steering,A,4%,B,"$55,939",87%,,Ford Component Sales,Switch Asy,6L3Z-13K359-AA,EA,10,,,,,,,,,,,0.40,
Steering Column Shroud,4L3Z-3530-BAA,A,1.00,EA,7.4,Ford,Steering,A,4%,B,"$60,212",94%,,Ford Component Sales,Shroud Asy,4L3Z-3530-BAA,EA,40,,,,,,,,,,,0.65,
Steering Pump High Pressure Fitting (Goes on GM pump),GAT-1000C,A,1.00,ea,8.0,Custom,Steering,,,,,,,Gray Area Machining,Steering Pump High Pressure Fitting,GAT-1000C,EA,61,,,,,,,,,,,,
"Steering Rack, 2.0"" power Rack  ",130,A,1.00,EA,6.0,Howe,Steering,,,,,,,"Howe Performance, Inc","Steering Rack, 2.0"" power Rack  ",130,,1,,,,,,,,,,,,
Steering Wheel  (Temporarily Jegs MOMO wheel),682-RCE35BK1B,A,1.00,EA,4.0,Jegs,Steering,,,,,,,Jegs,Steering Wheel,682-RCE35BK1B,EA,1,,,,,,,,,,,,
"Intermediate steering shaft, Painted Black ",RF-IntSteerShaft,A,1.00,EA,,,Steering,A,4%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.75""OD x 0.120""wall Steel DOM Tube(0.807lb/ft)",N/A,
"Lower steering shaft, Painted Black",RF-LowerSteerShaft,A,1.00,EA,,,Steering,A,4%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.75""OD x 0.120""wall Steel DOM Tube(0.807lb/ft)",N/A,
"Steering Tie Rods, Gloss Black Powder Coat",RF-TieRods,A,2.00,EA,,,Steering,A,4%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"3/16"" Steel A36 HR Sheet(7.66lb/sqft), 1.50""OD x 0.120""wall Steel DOM Tube(1.769lb/ft), Gloss Black Powder Coat",N/A,
"Steering Rack Drop Bracket, Gloss Black Powder Coat",RF-SteerRackDropBrac,A,2.00,EA,,,Steering,A,5%,,"$64,202",100%,,Local Motos,,RF-SteerRackDropBrac,,,,,,,,,,,,"1/16"" Steel A36 HR Sheet(2.553lb/sqft), Gloss Black Powder Coat",N/A,
"Hex Bolt, 7/16""-20x3-1/4"", (steering rack mounting)",91257A708,,4.00,EA,,,Steering,A,4%,C,"$64,049",100%,,McMaster-Carr,"Grade 8 Alloy Steel Hex Head Cap Screw Zinc Yellow-plated, 7/16""-20 Thread, 3-1/4"" Length",91257A708,EA,,,,,,,,,,,,,
"Pillow Block Bearing, (steering shafts)",5913K63,A,1.00,EA,,,Steering,A,4%,C,"$62,905",98%,,McMaster-Carr,"Stamped-steel Mounted Ball Bearing--abec-1 2-bolt Base Mount, For 3/4"" Shaft Diameter",5913K63,EA,1,,,,,,,,,,,,
M5x14mm -.8mm Pitch Allen ,91290A230,A,12.00,EA,2.0,,Steering,,,,,,,McMaster-Carr,"Metric Class 12.9 Socket Head Cap Screw Alloy Steel, M5 Thread, 14mm Length, 0.80mm Pitch",91290A230,EA,100,,,,,,,,,,,,
"Fluid, Power Steering",89020661,A,2.50,Qt,4.0,GM,Steering,A,4%,C,"$62,191",97%,,"Napa, Mel's Auto",Fluid,,,,,,,,,,,,,,,
LOCALMOTORS-PS-KIT ,RF-HosePwrSteer-Kit,A,1.00,ea,,Parker,Steering,A,4%,,"$64,202",100%,,Parker Store Phenix East,Localmotors-ps-kit,Localmotors-ps-kit,EA,1,Crown Performance,Ps Kit,,,,,,,,,,
"Line, CV to LH Rack",KAX-06-06-6-6-6-39.500,A,1.00,EA,,Parker,Steering,A,4%,C,"$62,092",97%,,Parker Store Phenix East,"Line, CV to LH Rack",,EA,1,,,,,,,,,,,,
"Line, CV to RH Rack",KAX-06-06-6-6-6-32.5,A,1.00,EA,,Parker,Steering,A,4%,C,"$62,301",97%,,Parker Store Phenix East,"Line, CV to RH Rack",,EA,1,,,,,,,,,,,,
"Line, CV to Reservoir",K7212BK-06-39-6-8-8-25.000,A,1.00,EA,,Parker,Steering,A,4%,B,"$60,466",94%,,Parker Store Phenix East,"Line, CV to Reservoir",,EA,1,,,,,,,,,,,,
"Line, Reservoir to Pump",K7212-39-39-8-8-8-17.000-270OR,A,1.00,EA,,Parker,Steering,A,4%,B,"$60,411",94%,,Parker Store Phenix East,"Line, Reservoir to Pump",,EA,1,,,,,,,,,,,,
"Control Valve, Inline 3/4""-30out-3/4""-48in",303-33185,A,1.00,EA,4.0,Sweet MFG,Steering,A,4%,A,"$46,924",73%,,Sweet Mfg. Inc,"Control Valve, Inline 3/4""-30in-3/4""-48",303-33185,,,,,,,,,,,,,,
"Clamp w/(bolt/nut/washer), (control valve)",313-43055,A,1.00,EA,4.0,Sweet MFG,Steering,A,4%,C,"$62,058",97%,,Sweet Mfg. Inc,"Clamp w/(bolt/nut/washer), (control valve)",313-43055,,,,,,,,,,,,,,
"Custom 3/4""x11""long shaft with one end 3/4""-48 spline",405-50050 & 405-50052,A,1.00,EA,10.0,Sweet MFG,Steering,A,4%,C,"$62,207",97%,,Sweet Mfg. Inc,"Splined Coupler, 3/4""-30 x 3/4"" smooth",,,,,,,,,,,,,,,
"U-joint, 3/4""-48(10) x 3/4"" smooth(90), (CV In, lower shaft to intermediate shaft)",401-50610,A,2.00,EA,4.0,Sweet MFG,Steering,A,4%,B,"$55,791",87%,,Sweet Mfg. Inc,"U-joint, 3/4""-48 x 3/4"" smooth",,,,,,,,,,,,,,,
"U-joint, 3/4""-36(12) x 3/4"" smooth(90), (Rack in)",401-50612,A,1.00,EA,4.0,Sweet MFG,Steering,A,4%,B,"$59,687",93%,,Sweet Mfg. Inc,"U-joint, 3/4""-36 x 3/4"" smooth",,,,,,,,,,,,,,,
"U-joint, 3/4""-30(15) x 3/4"" smooth(90), (weld-on upper shaft and joints to CV)",401-50615,A,1.00,EA,4.0,Sweet MFG,Steering,A,4%,B,"$59,725",93%,,Sweet Mfg. Inc,"U-joint, 3/4""-30 x 3/4""-36",,,,,,,,,,,,,,,
"Coupler, 3/4""-36(12) x 3/4"" smooth(90), (welds to upper steering shaft)",301-30120,A,1.00,EA,4.0,Sweet MFG,Steering,A,4%,C,"$63,138",98%,,Sweet Mfg. Inc,"Coupler, 3/4""-36(12) x 3/4"" smooth(90), (welds to upper steering shaft)",,,,,,,,,,,,,,,
"TEST   3/4"" Dom tube with 48 spline 1 one end x 36 "" long  (FOR R&D)",405-50367,01,?,EA,,Sweet MFG,Steering,,,C,,,,Sweet Mfg. Inc,"36"" long Splined ",,,,,,,,,,,,,,,
Power Steering Pulley,12578552,A,1.00,EA,4.0,GM,Steering,A,15%,B,"$60,063",94%,,Thorobred,Pulley-power steering,12578552,EA,1,,,,,,,,,,,,
"Bolt, M8x1.25x25mm, 10mm-drive, 19ft-lb, (power steering pump to bracket, only 1 used)",11515758,A,1.00,EA,4.0,GM,Steering,A,15%,C,"$64,185",100%,,Thorobred,Bolt,11515758,EA,1,,,,,,,,,,,,
Power Steering Reservoir to Pump Hose w/clamps,21997868,A,1.00,EA,4.0,GM,Steering,A,15%,C,"$62,858",98%,,Thorobred,Hose,21997868,EA,1,,,,,,,,,,,,
Power Steering Pump,21997867,A,1.00,EA,4.0,GM,Steering,A,15%,C,"$62,602",98%,,Thorobred,Power Steering Pump,21997867,EA,,,,,,,,,,,,,
Power Steering Reservoir,21997866,A,1.00,EA,4.0,GM,Steering,A,15%,C,"$62,602",98%,,Thorobred,Power Steering Reservoir,21997866,EA,,,,,,,,,,,,,
Tire Mount and Balance,Service,A,5.00,EA,A,,Wheels/Tires,B,3%,B,"$54,101",84%,,Firestone Chandler ,House Tire Package,,,1,Firestone,,,,,,,,,,,
Tire Valves,11011,A,,EA,2.0,,Wheels/Tires,B,3%,C,"$64,202",100%,,Lawson Products,Tire Valves,11011,EA,1,,,,,,,,,,,,
"Method Race Wheels, Chevy ",MR30178560500,A,5.00,EA,A,Method Racing,Wheels/Tires,B,3%,A,"$30,622",48%,,Method Race Wheel,"MR301 17x8.5, 0mm Offset, 6x5.5 Bolt Pattern,  Black Painted Finish",MR30178560500,,1,,,,,,,,,,"17""x8"" with -9mm offset, Forged Aluminum",29.45,147.25
"Lugnut  Chevy, 26-14x1.5""",40048,A,20.00,ea,8.0,Gorrila,Wheels/Tires,,,C,,,,Confidential Local Motors,"Lugnut  Chevy, 26-14x1.5""",11922-07 Chrome,EA,2000,SFX performance.com,"Lugnut  Chevy, 26-14x1.5""",GOR-40048,100,,,100,,,,,
"Aluminum Tape, (Wheel weight securing)",AFT-250,A,5.00,FT,,,Wheels/Tires,B,3%,C,"$64,156",100%,,Terminal Supply,Aluminum Tape,,,,,,,,,,,,,,,
Goodyear Wrangler DuraTrac,,A,5.00,EA,,,Wheels/Tires,,,,,,,Tire Rack,Goodyear Wrangler DuraTrac,,,1,Goodyear Mesa,Goodyear Wrangler DuraTrac,,,,,,,,,,
Wiper Arms Raw,25552,,2.00,EA,,,Wipers,C,0%,C,"$63,639",99%,prep,Factory Five,Wiper arm,25552,EA,10,,,,,,,,,,,0.41,
Wiper Motor,8L3Z-17508-B,A,1.00,EA,6.4,Ford,Wipers,C,0%,B,"$52,852",82%,prep,Ford Component Sales,Wiper Motor,8L3Z-17508-B,EA,1,,,,,,,,,,,7.55,
Wiper Arm LH,RFN-0A36-084,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Wiper Arm RH,RFN-0A36-085,A,1.00,EA,,,Wipers,C,0%,C,"$63,634",99%,prep,Local Motors,,,EA,1,,,,,,,,,,,0.41,
Wiper Linkage Rod Long,RFN-6061-108,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Wiper Linkage Rod Short,RFN-6061-109,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Wiper Pivot Arm LH,RFN-S304-129,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Wiper Pivot Arm RH,RFN-S304-130,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Wiper Assembly ,RFN-0A36-131,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
Windshield Wiper Bracket,RFN-0A36-107,A,1.00,EA,,,Wipers,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
1/8” Dia. High Strength Zinc Plated Steel Blind Rivet,98777A111,A,2.00,EA,1.0,,Wipers,,,C,,,prep,McMaster-Carr,,98777A111,EA,25,,,,,,,,,,,,
"Weld-in Nut, 1/4""-20, (wiper pivot)",93975A100,A,6.00,EA,2.0,,Wipers,,,,,,,McMaster-Carr,"Steel Square Weld Nut with Projections 1/4""-20 Thread Size",93975A100,EA,50,,,,,,,,,,,,
"Shoulder Screw 5/16"" Shldr Dia, 3/8"" L Shldr, 1/4""-20 Thrd, W/Pellet (Wiper pivot & Ebrake short cabel)",91264A535,A,2.00,EA,1.0,,Wipers,,,,,,,McMaster-Carr,"Alloy Steel Self-Locking Shoulder Screw 5/16"" Shldr Dia, 3/8"" L Shldr, 1/4""-20 Thrd, W/Pellet",91264A535,EA,10,,,,,,,,,,,,
"Shoulder Bolt, 5/16""x 1/2""L, steel, (wiper linkage conection)",91264A537,A,1.00,EA,,,Wipers,,,,,,,McMaster-Carr,"Alloy Steel Self-Locking Shoulder Screw 5/16"" Shldr Dia, 1/2"" L Shldr, 1/4""-20 Thrd, W/Pellet",91264A537,EA,,,,,,,,,,,,,
"Shoulder Bolt,  5/16""x1""L , steel, (wiper linkage connection)",91264A542,A,1.00,EA,,,Wipers,,,,,,,McMaster-Carr,"Alloy Steel Self-Locking Shoulder Screw 5/16"" Shldr Dia, 1"" L Shldr, 1/4""-20 Thrd, W/Pellet",91264A542,EA,1,,,,,,,,,,,,
"Rod End 5/16""- Male Nylon race  .313"" Hole",34696-MPM-5,A,4.00,EA,,,Wipers,,,,,,,Midwest Control,"Rod End 5/16""- Male Nylon race  .313"" Hole",34696-MPM-5,EA,100,,,,,,,,,,,,
Windshield Washer Fluid,PLUS+32,A,1.00,GL,,Napa,Wipers,,,,,,,"Napa, Mel's Auto",Windshield Washer Fluid,PLUS+32,GL,1,,,,,,,,,,,,
"15""Long: Aluminum 6061-T6 Drawn Tube 0.375"" x 0.058"" x 0.259""",,A,1.00,EA,2,,Wipers,,,,,,,Online Metals ," Aluminum 6061-T6
Drawn Tube
0.375"" x 0.058"" x 0.259""
Cut to: 17""",,EA,13,,,,,,,,,,,,
"9"" Long: Aluminum 6061-T6 Drawn Tube 0.375"" x 0.058"" x 0.259""",,A,1.00,EA,2,,Wipers,,,,,,,Online Metals ,"Aluminum 6061-T6
Drawn Tube
0.375"" x 0.058"" x 0.259""
Cut to: 9""",,EA,13,,,,,,,,,,,,
"22"" Wiper Blade",YS-902A-500 (550MM),A,1.00,EA,,,Wipers,,,,,,,Confidential Local Motors,"22"" Wiper Blade",YS-902A-500 (550MM),EA,500,,,,,,,,,,,,
"24"" Wiper Blade",YS-902A-500 (600MM),A,1.00,EA,,,Wipers,,,,,,,Confidential Local Motors,"24"" Wiper Blade",YS-902A-500 (600MM),EA,500,,,,,,,,,,,,
Wiper Pivot,RF-WiperPivot,A,2.00,EA,,,Wipers,C,0%,B,"$56,979",89%,Prep,Whitby Motorcars,"GTM Wiper Pivot with 1/4-20x1""hole",,EA,60,,,,,,,,,,,,
"WRAP Allowed Material Single Color 40' linear by 60""",RF-StdWrap,A,1.00,EA,,,Wrap ,A,3%,,"$64,202",100%,,Local Motors,,,,,,,,,,,,,,,,
"Scotchgard Paint Protection Film, Roll, 84804, 4 in x 40 yds ","84804, 4 in x 40 yds",A,8.00,FT,,,Wrap,,,,,,,shop3M.com ,"Scotchgard Paint Protection Film, Roll, 84804, 4 in x 40 yds ","84804, 4 in x 40 yds",FT,,,,,,,,,,,,,
Build Experience  (Cost in Labor),,A,1.00,,,,Experience,,,,,,,,,,,,,,,,,,,,,,,
6 Nights Hotel,,A,1.00,,,,Experience,,,,,,,,,,,,,,,,,,,,,,,
Daily Food for Lunches / Snacks,,A,6.00,,,,Experience,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END  Standard  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start OPTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Options ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Package,,,,,,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Dash/Door/ Center Counsel Pad Kit,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,Dash/Door/ Center Counsel Pad Kit,,EA,6,,,,,,,,,,,,
Dash Pad Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Pad LH Door panel  Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Pad RH Door Panel     Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Pad LH Elbow   Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Pad RH Elbow   Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Pad Center Counsel Black ,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
"Waterproof Board  39"" x 65"" 12/C  Board Extra Large (Cut on water Jet for Pad Kit)", PB7XL,A,0.50,EA,1.0,,Interior,,,,,,,Keystone Bros.,"Waterproof Board  39"" x 65"" 12/C  Board Extra Large ", PB7XL,EA,10,Phoenix ,KB Board  39*65  Black / Black  wa,Board 108,10,,,,,,,,
Floor Mats Kit,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,Floor Mats Kit,,EA,6,,,,,,,,,,,,
Driver Side Floor Mat,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Passenger Side Floor Mat,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Cargo Area Floor Mat,,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,,,,,,,,,,,,,,,,
Fiber Panel Christmas Tree,AUV16017,A,75.00,EA,2.0,Aveco,Interior,,,,,,,SG Supply,Fiber Panel Christmas Tree,AUV16017,EA,500,,,,,,,,,,,,
Radio /  GPS  / Navigation System / Blue tooth,,A,1.00,EA,8.0,,Interior,,,,,,,,,,EA,10,,,,,,,,,,,,
Key fab & Brain for electric Locks ,HOR2101L,A,1.00,EA,,,Electronics,,,,,,,Rabadi & Sons ,Key fab & Brain for electric Locks ,HOR2101L,EA,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seat  Option Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja RS Black Drivers Side ,Baja-RS-Black-Drivers,A,1.00,EA,,,Interior,,,,,,,,,,,,,,,,,,,,,,,
Baja RS Black Pass Side,Baja-RS-Black-Pass,A,1.00,EA,,,Interior,,,,,,,,,,,,,,,,,,,,,,,
MasterCraft Seat Sliders,Seat-Sliders-MasterCraft,A,2.00,EA,,,Interior,,,,,,,,,,,,,,,,,,,,,,,
Standard Arm Kit  ??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Front Arms Kit  Std,,01,1.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Tube Arm Hardware ,,01,1.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
STD TUBE ARMS LH Front LCA with uniball and bushings,,,1.00,EA,,,Suspension,,,,,,,,,,,,,,,,,,,,,,,
TUBE RH Front LCA with uniball and bushings,,,1.00,EA,,,Suspension,,,,,,,,,,,,,,,,,,,,,,,
TUBE LH Front UCA ,,,1.00,EA,,,Suspension,,,,,,,,,,,,,,,,,,,,,,,
TUBE RH Front UCA ,,,1.00,EA,,,Suspension,,,,,,,,,,,,,,,,,,,,,,,
"Fasteners, (CA to chassis)",,,,,,,Suspension,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOCK OPTIONS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocks External Adj  Front,,01,2.00,,,King,Suspension,,,,,,,King Shocks,,,EA,2,,,,,,,,,,,,
Shocks External Adj  Rear,,01,2.00,,,King,Suspension,,,,,,,King Shocks,,,EA,2,,,,,,,,,,,,
Isolators for External Bipass,Isolator-Bipass,01,8.00,,,,Suspension,,,,,,,Energy Suspension ,Shock Isolators,9247.01,ea,100,energysuspensionparts.com,Isolators for External Bipass,9.9162,1,,,,,,,,
"Worm-Drive Hose Clamp W/Zinc-Pltd STL Screw 3-1/16"" to 4"" Clamp Dia Range, 1/2"" Band Width",5415K41,01,8.00,,,,Suspension,,,,,,,McMaster-Carr,"Worm-Drive Hose Clamp W/Zinc-Pltd STL Screw 3-1/16"" to 4"" Clamp Dia Range, 1/2"" Band Width",5415K41,EA,1,,,,,,,,,,,,
Water Repelent Cover for Air Filter,20-1261,01,1.00,EA,,,Engine,,,,,,,Air Raid,WATER REPELLENT PRE-FILTER W/TOP,20-1261,EA,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheels and Tires  Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear Eagle MTR Tires,87QR7WMTRKOWL,A,5.00,EA,,,Wheels/Tires,B,3%,A,"$29,472",46%,,Tire Rack,Goodyear MTR w/kevlar 285/70R-17,87QR7WMTRKOWL,,1,Goodyear Mesa,Goodyear MTR w/kevlar 285/70R-17,,,,,,,,"285/70R-17, 33"" Diameter, 7-8"" rim, ",50.00,250.00
Bead Locks,MR10179000312B,A,5.00,EA,,Method Racing,Wheels/Tires,,,,,,,Method Race Wheels,Bead Locks,MR10179000312B,EA,1,,,,,,,,,,,,
Chrome center Caps for Bead Locks,,A,4.00,EA,,Method Racing,Wheels/Tires,,,,,,,Method Race Wheels,Chrome center Caps for Bead Locks,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
